Organization	KG id	KG name	KG SPARQL endpoint	RDF dump link	Ontology	Triples	F1-M Unique and persistent ID	F1-D URIs dereferenceability	F2a-M - Metadata availability via standard primary sources	F2b-M Metadata availability for all the attributes covered in the FAIR score computation	F3-M Data referrable via a DOI	F4-M Metadata registered in a searchable engine	F score	A1-D Working access point(s)	A1-M Metadata availability via working primary sources	A1.2 Authentication & HTTPS support	A2-M Registered in search engines	A score	I1-D Standard & open representation format	I1-M Metadata are described with VoID/DCAT predicates	I2 Use of FAIR vocabularies	I3-D Degree of connection	I score	R1.1 Machine- or human-readable license retrievable via any primary source	R1.2 Publisher information, such as authors, contributors, publishers, and sources	R1.3-D Data organized in a standardized way	R1.3-M Metadata are described with VoID/DCAT predicates	R score	FAIR score
Archive	bbc-music	BBC Music	http://api.talis.com/stores/bbc-backstage/services/sparql	[]	False	20000000	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	0	1	1	0	0.5	2.34
Archive	bbc-wildlife-finder	BBC Wildlife Finder	http://api.talis.com/stores/bbc-wildlife/services/sparql	[]	False	23861	1	0.0	1	0.56	0	1	0.59	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	1	1	1	0	0.75	2.34
Library	biblioteca-nacional-escolar-bnescolar	Biblioteca Nacional Escolar (BNEscolar)		[]	False	426746	1	0.0	1	0.33	0	1	0.56	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	0	1	1	0	0.5	2.31
Library	bll-thesaurus	Bibliography of Linguistic Literature (BLL) Thesaurus		[]	True	0	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.59
Library	bluk-bnb	British National Bibliography (BNB) - Linked Open Data	http://bnb.data.bl.uk/sparql	[]	False	146901135	1	0.0	1	0.56	0	1	0.59	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	1	1	1	0	0.75	2.34
Library	bncf-ns	Thesaurus BNCF	http://digitale.bncf.firenze.sbn.it/openrdf-workbench/repositories/NS/query	['https://github.com/m-pepe/BNCF-NS/blob/main/ns201803.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns201810.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns201904.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns201910.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns202004.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns202010.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns202104.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns202110.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns202203.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns202210.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns202303.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns202310.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns202403.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns202410.zip']	False	839776	1	1.0	1	0.67	0	1	0.78	1.0	1	1.0	1	1.0	1	1	0.0	1	0.75	1	1	1	1	1.0	3.53
Library	BNE	National Library of Spain		[]	False	0	0	0.0	0	0.22	0	0	0.04	0.0	0	0.0	0	0.0	1	0	0.0	0	0.25	1	1	1	0	0.75	1.04
Museum	british-museum-collection	British Museum Collection	http://collection.britishmuseum.org/Sparql	[]	False	105635648	1	0.0	1	0.33	0	1	0.56	0.0	1	0.0	1	0.5	1	0	0.0	0	0.25	0	1	1	0	0.5	1.81
Library	BVMC	Biblioteca Virtual Miguel de Cervantes	http://data.cervantesvirtual.com/sparql	[]	False	13000000	1	0.9828	1	0.67	0	1	0.78	1.0	1	1.0	1	1.0	1	1	0.0	1	0.75	1	1	1	1	1.0	3.53
Archive, Library	calames	Calames		[]	False	2000000	1	0.0	1	0.44	0	1	0.57	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	0	1	1	0	0.5	2.32
